Date,Clicks,Impressions,CTR,Position
2026-02-24,0,24,0%,11.2
2026-02-25,1,26,3.85%,7
2026-02-26,1,24,4.17%,6.3
2026-02-27,0,14,0%,11.3
2026-02-28,1,11,9.09%,10.7
2026-03-01,0,20,0%,5.3
2026-03-02,1,29,3.45%,4.7
2026-03-03,1,18,5.56%,10.8
2026-03-04,1,23,4.35%,7.3
2026-03-05,2,12,16.67%,7.1
2026-03-06,0,15,0%,10.4
2026-03-07,0,12,0%,5.2
2026-03-08,0,29,0%,7.8
2026-03-09,0,12,0%,10.2
2026-03-10,0,19,0%,10.2
2026-03-11,1,10,10%,8.4
2026-03-12,1,16,6.25%,8.3
2026-03-13,0,13,0%,8.3
2026-03-14,0,19,0%,6.1
2026-03-15,1,22,4.55%,6
2026-03-16,0,12,0%,22.6
2026-03-17,1,15,6.67%,6.3
2026-03-18,1,9,11.11%,5.1
2026-03-19,1,30,3.33%,6
2026-03-20,0,25,0%,6.8
2026-03-21,0,17,0%,5.5
2026-03-22,0,18,0%,5.9
2026-03-23,3,24,12.5%,6.1
2026-03-24,1,22,4.55%,8.6
2026-03-25,1,19,5.26%,4.7
2026-03-26,0,27,0%,5.7
2026-03-27,1,10,10%,4.3
2026-03-28,0,16,0%,3.8
2026-03-29,0,31,0%,5.5
2026-03-30,3,36,8.33%,5.1
2026-03-31,2,22,9.09%,5.4
2026-04-01,3,33,9.09%,5.4
2026-04-02,0,29,0%,7.5
2026-04-03,3,36,8.33%,4.9
2026-04-04,1,26,3.85%,7.8
2026-04-05,0,30,0%,5.7
2026-04-06,9,55,16.36%,5.6
2026-04-07,3,50,6%,5.5
2026-04-08,3,33,9.09%,7.2
2026-04-09,0,44,0%,5.7
2026-04-10,0,30,0%,8.3
2026-04-11,4,39,10.26%,6.1
2026-04-12,1,39,2.56%,4.8
2026-04-13,2,70,2.86%,4.1
2026-04-14,5,46,10.87%,7.5
2026-04-15,2,30,6.67%,7.6
2026-04-16,0,32,0%,5.2
2026-04-17,1,36,2.78%,5.9
2026-04-18,2,34,5.88%,8.3
2026-04-19,4,32,12.5%,6.2
2026-04-20,3,35,8.57%,8
2026-04-21,1,41,2.44%,7.7
2026-04-22,0,42,0%,7.5
2026-04-23,1,44,2.27%,9.6
2026-04-24,2,45,4.44%,9
2026-04-25,2,62,3.23%,6.5
2026-04-26,1,41,2.44%,7.5
2026-04-27,1,58,1.72%,6.8
2026-04-28,0,82,0%,10.1
2026-04-29,2,68,2.94%,7.5
2026-04-30,2,65,3.08%,7.3
2026-05-01,1,39,2.56%,7.5
2026-05-02,2,44,4.55%,7.3
2026-05-03,2,65,3.08%,6.1
2026-05-04,4,68,5.88%,6.9
2026-05-05,5,71,7.04%,6
2026-05-06,4,111,3.6%,5.4
2026-05-07,4,64,6.25%,5.8
2026-05-08,3,52,5.77%,7.2
2026-05-09,0,27,0%,6.1
2026-05-10,4,80,5%,6.9
2026-05-11,4,53,7.55%,5.7
2026-05-12,2,114,1.75%,6.7
2026-05-13,2,110,1.82%,7.3
2026-05-14,3,69,4.35%,6.8
2026-05-15,2,59,3.39%,7
2026-05-16,1,73,1.37%,6.4
2026-05-17,4,68,5.88%,6.9
2026-05-18,4,325,1.23%,8.1
2026-05-19,1,140,0.71%,9.1
2026-05-20,3,137,2.19%,7.2
2026-05-21,2,80,2.5%,7.3
2026-05-22,6,65,9.23%,6.5
2026-05-23,0,74,0%,7.6