Country,Clicks,Impressions,CTR,Position
Croatia,81,1169,6.93%,6.26
United States,24,993,2.42%,6.6
United Kingdom,8,313,2.56%,8.49
Canada,7,209,3.35%,7.31
Slovenia,3,74,4.05%,7.49
Sweden,3,56,5.36%,6.82
Australia,2,96,2.08%,7.43
France,2,70,2.86%,5.73
Italy,2,40,5%,6.5
Belarus,2,10,20%,6.1
Germany,1,94,1.06%,15.59
Spain,1,67,1.49%,7.28
Belgium,1,45,2.22%,6.47
Netherlands,1,39,2.56%,6.31
Austria,1,38,2.63%,7.03
Serbia,1,19,5.26%,6.79
Bosnia & Herzegovina,1,17,5.88%,7.24
Lithuania,1,10,10%,6.5
Taiwan,1,9,11.11%,5.22
Ukraine,1,9,11.11%,5.56
Slovakia,1,8,12.5%,5
Luxembourg,1,2,50%,5
Poland,0,98,0%,7
Czechia,0,35,0%,6.6
Ireland,0,34,0%,7
Brazil,0,34,0%,7.09
New Zealand,0,28,0%,7.32
Switzerland,0,25,0%,6.52
India,0,22,0%,9.45
Japan,0,18,0%,10.33
Norway,0,16,0%,6.56
Latvia,0,13,0%,7.15
Finland,0,13,0%,7.85
Portugal,0,12,0%,6
Mexico,0,12,0%,6.33
United Arab Emirates,0,11,0%,6.82
Singapore,0,11,0%,6.91
Montenegro,0,11,0%,8.45
Vietnam,0,11,0%,9.45
Malaysia,0,10,0%,6.8
Indonesia,0,10,0%,8.2
Hong Kong,0,10,0%,8.5
Philippines,0,9,0%,5.33
Romania,0,9,0%,6.33
Israel,0,9,0%,7.44
Chile,0,8,0%,4.62
Denmark,0,8,0%,5.62
Argentina,0,8,0%,7.38
Thailand,0,8,0%,8.25
Bulgaria,0,7,0%,4.29
South Africa,0,7,0%,7.71
Russia,0,7,0%,8.14
Morocco,0,7,0%,8.86
Turkey,0,6,0%,8.17
Colombia,0,6,0%,12.5
South Korea,0,5,0%,6.6
Kenya,0,5,0%,7.6
Uzbekistan,0,5,0%,9.6
Hungary,0,4,0%,5.5
Estonia,0,4,0%,9
Iraq,0,4,0%,31
China,0,3,0%,5
Greece,0,3,0%,5.67
Libya,0,2,0%,2
Zimbabwe,0,2,0%,5
Sri Lanka,0,2,0%,5.5
Jordan,0,2,0%,6.5
Algeria,0,2,0%,7
Pakistan,0,2,0%,8
Georgia,0,2,0%,9.5
Saudi Arabia,0,2,0%,9.5
Namibia,0,1,0%,1
Dominica,0,1,0%,2
Dominican Republic,0,1,0%,2
Nepal,0,1,0%,2
Syria,0,1,0%,2
Palestine,0,1,0%,3
Turks & Caicos Islands,0,1,0%,4
Moldova,0,1,0%,5
Cyprus,0,1,0%,6
Iceland,0,1,0%,6
Guatemala,0,1,0%,7
Ecuador,0,1,0%,8
Kuwait,0,1,0%,8
Nigeria,0,1,0%,8
Andorra,0,1,0%,9
Barbados,0,1,0%,9
Iran,0,1,0%,9
Unknown Region,0,1,0%,9
Albania,0,1,0%,10
Costa Rica,0,1,0%,10
Niger,0,1,0%,10
Qatar,0,1,0%,10
Uganda,0,1,0%,10
Bermuda,0,1,0%,11
Malawi,0,1,0%,11
Kazakhstan,0,1,0%,31
Egypt,0,1,0%,35