Top pages,Clicks,Impressions,CTR,Position
https://korcula-moreska.com/,89,1738,5.12%,6.57
https://korcula-moreska.com/services/moreska-sword-dance/,48,2197,2.18%,7.67
https://korcula-moreska.com/contacts/,3,165,1.82%,3.76
https://korcula-moreska.com/about-us/,2,263,0.76%,3.64
https://korcula-moreska.com/our-performances/,2,97,2.06%,4.32
https://korcula-moreska.com/services/wind-orchestra/,2,86,2.33%,6.86
https://korcula-moreska.com/services/klapa-sv-cecilija/,1,96,1.04%,6.43
https://korcula-moreska.com/shop/,1,9,11.11%,6.56
https://korcula-moreska.com/our-services/,0,99,0%,3.7
https://korcula-moreska.com/gallery/,0,41,0%,2.54
https://korcula-moreska.com/privacy-policy/,0,33,0%,5.18
https://korcula-moreska.com/2023/05/30/moreska-national-day-celebration/,0,32,0%,9.94
https://korcula-moreska.com/blog/,0,17,0%,10.76
https://korcula-moreska.com/product-tag/franko-oreb/,0,11,0%,4.36
https://korcula-moreska.com/2023/05/28/happy-national-day/,0,8,0%,3.5
https://korcula-moreska.com/tag/ensemble/,0,2,0%,2.5
https://korcula-moreska.com/product-tag/korculas-singing-society-st-cecily/,0,2,0%,68
https://korcula-moreska.com/product-tag/moreska/,0,1,0%,10
https://korcula-moreska.com/wp-content/uploads/2023/05/Logo.png,0,1,0%,10
https://korcula-moreska.com/product-category/books/,0,1,0%,12
https://korcula-moreska.com/wp-content/uploads/2023/05/DSC_1.25.61-scaled.jpg,0,1,0%,22